Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot,Plot_reduction
2001,Along Came a Spider,American,,"Morgan Freeman, Monica Potter, Dylan Baker","crime, thriller",https://en.wikipedia.org/wiki/Along_Came_a_Spider_(film),detect forens result opt retir find drawn back kidnap exclus privat teacher held respons find miss alert one detect deduc obsess hope becom infam commit new might discuss one true kidnap real kidnap guarante greater foil second suppos demand deliv million follow intric made public scatter throughout ultim toss rapidli move later arriv disabl realiz unawar ransom leav kill becom suspici realiz discov long came search person find enough prove fellow use track seclud murder intent elimin kill take back,
2001,The Business of Strangers,American,,"Julia Stiles, Stockard Channing, Marcus Giamatti",thriller,https://en.wikipedia.org/wiki/The_Business_of_Strangers,middl age fli attend import contact ask meet afterward worri may engag name look new new late goe badli unexpectedli promot delay meet lose earlier buy talk gave begin question whether made right two visit return join explain also cancel follow want know wrong rape shock eventu convinc suggest get reveng forget two later keep realiz done two take restrict renov get find strip explain wake hesit ask happen photograph find magic write back like nearli discov leav without see eventu confess juli rape alreadi guess return sleep next find written sit next sleep meet reveal never prove elabor,
2001,Den,American,,"Greg Arce, Stephanie Rettig, Lee Schall, Dana J. Ryan",thriller,https://en.wikipedia.org/wiki/Den_(film),"The film begins with a bearded man waking up in his house and going through his morning routine. He touches his cross necklace, grabs a stack of chewing gum, looks into the mirror and announces merrily ""Showtime!"". Den (although his name is never spoken) cruises the city on a skateboard and captures four future victims: a psychotherapist and his wife - Steven and Lolita Brewster; Cassandra - a militant atheist, who moonlights as a prostitute; and Milton Page - a respiratory therapist who once longed to be a nun. Den places his victims in a large abandoned theater. He chains the captives to the walls and doles out meager supplies that will keep them alive. Den is truthful to the group: He admits he is a serial killer and that they are on his ""list of people to do."" But he wants something... conversation. Through the course of nine days, he starts daily arguments and debates with the group. As the days pass on it is revealed that the group is not only tied by chains, but by personal secrets. Milton reveals that her passion to be a nun was squelched when she realized she had sexual attractions towards women. She also confesses to having an affair with a married woman. Steven's darker side comes out early on when his racial and biased belief system is heard. He has also been a disloyal spouse by seeing hookers, which is a surprise to Lolita, but not to Cassandra. Lolita has her own skeleton she wishes to keep in the closet, but Den opens the door when it is disclosed that she has also had an affair... with Milton. And when Cassandra admits to being an atheist, this shocks Den more than her work as a prostitute.
It is revealed that Den is storing them under a church where he works as a priest. Den uses the captive's secrets to turn one against the other. But Cassandra takes all the physical and mental abuse and throws it back at Den with all the strength and stamina she can muster.
As the final day approaches the body count rises: Den has cut off Lolita's finger because she was pointing at him. She dies from an infection, although Den was kind enough to cauterize the wound with a soldering iron. With Milton's sexual orientation and affair with Lolita exposed, Den manipulates Steven into stabbing and killing Milton with a crucifix-knife. He offers to let Steven get away with the killing, but recants, and when Steven attacks him in anger, Den beats him to death. The final scene has Cassandra verbally attacking the Bible and Den's beliefs. She calls out several mistakes that are written in this holy text and, thereby proves, if there is a God, he had no hand in the making of this religious manuscript. Den, after supposedly killing a few children, returns to kill Cassandra. He stabs her in the chest with the crucifix-knife. He taunts her about pulling the knife out so she can kill him. She doesn't and he feels that this is proof of the ""no atheist in foxholes"" theory. As he turns to leave, Cassandra removes the knife and tosses it at Den. The knife skewers his head. He removes the knife and rushes to kill her, but convulses and dies on her. Cassandra is unable to escape and dies. Their final death tableau forms the Pietà position.",
2001,Domestic Disturbance,American,,"John Travolta, Vince Vaughn, Teri Polo",thriller,https://en.wikipedia.org/wiki/Domestic_Disturbance,"In Southport, Maryland, Susan Morrison (Teri Polo), recently divorced from her husband Frank (John Travolta) who is a struggling ship builder, is getting married to a younger and wealthier Rick Barnes (Vince Vaughn). Danny (Matt O'Leary), Susan and Frank's twelve-year-old son, is clearly unhappy that his mother is remarrying. Susan asks Frank to allow Rick to go sailing with him and Danny, to help Danny bond with and accept Rick as a stepfather.
After the wedding and a brief improvement in Danny's and Rick's relationship, Danny dislikes Rick once again. During a game of catch between the two, Rick clearly becomes agitated with Danny's ambivalent playing style and starts criticizing him harshly. The revelation that Susan and Rick are having a baby worsens the situation. After finding out about the baby, Danny stows away in Rick's Chevy Suburban, planning to drop off it en route and visit his father. But while Danny is inside, he sees Rick murdering mysterious stranger Ray Coleman (Steve Buscemi), who earlier attended the wedding unannounced, claiming to be an ex-business associate of Rick.
Danny reports the murder to his father and to the local police. Rick, however, has managed to dispose of most of the evidence, and is widely considered a pillar of the local community as he invested his money in the area, whereas Danny has a history of lying and misdemeanors. Frank believes his son though, stemming from Rick's notable unease around Coleman at the ceremony and the fact that Danny never lies to him.
Frank does some investigating of his own and unearths Rick's criminal past, which now stands to put his son and ex-wife in risk. Frank learns that Rick's real name is Jack Parnell and that he is a criminal who was acquitted while his partners, which included Coleman, were convicted. Jack tries to kill Frank by setting his boathouse on fire, but Frank manages to escape.
Susan realizes the truth when she sees a large burn on Jack's arm, having heard about the fire at the boathouse hours earlier. She tries to escape with Danny but Jack knocks her out and takes Danny as a hostage. Frank arrives to confront Jack, as he tries to flee. Jack and Frank fight, and Jack is killed when a tied-up Danny pushes him to a fuse box, electrocuting him. Susan has no serious physical injury from the conflict, although we learn that she miscarries her child.",
2001,Don't Say a Word,American,,"Michael Douglas, Sean Bean, Brittany Murphy",thriller,https://en.wikipedia.org/wiki/Don%27t_Say_a_Word,"In 1991, a gang of thieves steal a rare $10-million gem, but, in the process, two of the gang double-cross their leader, Patrick Koster (Sean Bean) and take off with the precious stone.
Ten years later, on the day before Thanksgiving, prominent private practice Manhattan child psychiatrist, Dr. Nathan R. Conrad (Michael Douglas), is invited by his friend and former colleague, Dr. Louis Sachs (Oliver Platt), to examine a disturbed young lady named Elisabeth Burrows (Brittany Murphy) at the state sanatorium.
Having been released from prison on November 4, Patrick and the remaining gang members break into an apartment which overlooks Nathan's apartment, where he lives with his wife Aggie (Famke Janssen) and daughter Jessie (Skye McCole Bartusiak). That evening, Patrick kidnaps Jessie as a means of forcing Nathan to acquire a six-digit number from Elisabeth's memory. As Nathan visits Elisabeth, she is reluctant at first, but he gains her trust later—especially when he reveals that Jessie has been kidnapped and will be killed if he does not get the number they want. Sachs admits to Nathan that the gang who kidnapped Jessie also kidnapped his girlfriend to force him to acquire the number from Elisabeth. Sachs is then visited by Detective Sandra Cassidy (Jennifer Esposito) who reveals to him that his girlfriend has been found dead. Meanwhile, Aggie hears Jessie's voice and realizes the kidnappers reside in the apartment nearby. The kidnappers send one of them to kill Aggie while the others escape with Jessie, but Aggie sets an ambush and kills him.
After Nathan takes Elisabeth out of the sanatorium, she remembers certain events regarding the gang. It is revealed that Elisabeth's father was a member of the gang that committed the robbery ten years prior and that he double-crossed them and took the stolen gem. However, other members of the gang later found him and ordered him to reveal where he had hidden the gem, subsequently pushing him in front of a subway train. The gang members were arrested immediately, and Elisabeth escaped with her doll in which the gem was hidden. She also remembers that the required number, 815508, is the number of her father's grave at Hart Island and that her doll is placed beside him in the coffin. She explains that she had stowed away on a boat that was taking her father's coffin for burial in Potter's field on Hart Island, where the gravediggers put the doll, named Mischka, inside.
Nathan and Elisabeth steal a boat to reach Hart Island. The gang members track them down and demand that Nathan give them the number they want. Elisabeth reveals the number and Patrick orders his companion to exhume her father's coffin after releasing Jessie. He finds the doll and the gem hidden inside it. He then decides to kill Nathan and Elisabeth, but Cassidy arrives before he can shoot them. Patrick's companion is shot by Cassidy, but Patrick manages to wound her. Taking advantage of the confusion, Nathan takes the gem from Patrick and throws it to a nearby excavation machine. Patrick goes to recover the gem, but Nathan triggers the mechanism which covers Patrick with earth, burying him alive. Nathan reunites with Aggie and Jessie, and invites Elisabeth to live with them.",
2001,Finder's Fee,American,,"Erik Palladino, James Earl Jones, Ryan Reynolds, Dash Mihok",thriller,https://en.wikipedia.org/wiki/Finder%27s_Fee,"The film takes place over the course of a single evening. Tepper, played by Erik Palladino, finds a wallet on his way home from work. He contacts the owner of the wallet by telephone, and then later discovers that the wallet contains the winning ticket in a $6 million lottery.
Complications arise when Tepper's friends come over for their regular poker night. One of the conditions of the game is that everyone purchase a ticket for the lottery, to be thrown into the pot. The game is played as a freezeout, with the winner collecting all the tickets and any prizes they may be worth. When the owner of the wallet, played by James Earl Jones, arrives, he realizes that the winning ticket is in the pot, and stays to play in the game.",
2001,The Glass House,American,,"Leelee Sobieski, Diane Lane, Stellan Skarsgård",thriller,https://en.wikipedia.org/wiki/The_Glass_House_(2001_film),"Sixteen-year-old Ruby Baker (Leelee Sobieski) and her eleven-year-old brother Rhett (Trevor Morgan) lose their parents, Dave and Grace, in a car accident. Their parents' will is not a recent one but, in accordance with its terms, the children are placed under the guardianship of family neighbors from some years back, the childless couple Erin (Diane Lane) and Terry (Stellan Skarsgård) Glass, who live in a large glass house in Malibu.
There are early indications that all is not well. The children have to share a room; they are no longer educated privately; Rhett is allowed to play with games consoles at all times; and Ruby is made uneasy by Terry's sexual hints when they are alone. Ruby comes across unlabeled pharmaceuticals and sees Erin injecting herself, though the couple claim this is for diabetes. Ruby tries unsuccessfully to get the children's estate and trust fund lawyer Alvin Begleiter (Bruce Dern) to accept her concerns and a visiting social worker is taken in by the couple's assurances.
Ruby discovers mail from the children's maternal Uncle Jack (Chris Noth) in the trash, along with a letter from a private school indicating the Glasses unregistered the children and pocketed the $30,000+ tuition money. Ruby also finds signs that Terry is in debt to loan sharks, and she gradually realizes her new foster parents are after the siblings' $4 million trust fund. Ruby becomes suspicious of her parents' death and discovers evidence of the Glasses involvement.
After unsuccessfully attempting to escape, the kids are recaptured. The Glasses drug Ruby, and Terry tells Erin they must get rid of Ruby. Overcome by guilt and having lost her medical license due to her drug abuse, Erin commits suicide. Terry locks the kids in the basement and sabotages his car, expecting the kids to make another escape attempt. However, the loan sharks, alerted by Ruby, appear at Terry's house, kill Mr. Begleiter (who has come to confront Terry and revealed his complicity), repossess Terry's Jaguar, and insist on taking a ride. Terry begs them to reconsider, or to at least take another car, but eventually gives in. The car goes over a ledge and crashes, killing the loan sharks, though Terry survives.
Meanwhile, the children are picked up by a friendly cop. The policeman stops at the scene of the accident and, while investigating, Terry knocks him out. After climbing back up the embankment, and armed with a gun, Terry tries to lure Ruby and Rhett toward him. Ruby hits Terry with the police car and kills him instantly. In the end, Ruby and Rhett end up living with their Uncle Jack, who takes them to Chicago, where they visit their parents' grave and embrace each other.",
2001,Good Neighbor,American,,"Billy Dee Williams, Danica McKellar, Tobin Bell",thriller,https://en.wikipedia.org/wiki/Good_Neighbor,"A young woman discovers the fine line between paranoia and having your worst fears become real in this tale of terror. Molly Wright is a typical college student sharing a house off-campus with her friends. Between her criminology classes, trying to keep up with her homework, and working as a volunteer with a local church group, Molly is wearing herself to a frazzle, so many of her friends think her imagination is working overtime when she begins to wonder aloud if Geoffrey Martin, the eccentric artist who has moved into the house next door, might be a serial killer. Molly's friends have a hard time believing her, but Paul Davidson, a police detective, thinks something funny is going on in the neighborhood after a number of missing persons cases are reported. But can Paul build a case against the killer before Molly becomes his next victim?",
2001,Gosford Park,American,,"Michael Gambon, Kristin Scott Thomas, Maggie Smith, Helen Mirren, Alan Bates, Bob Balaban, Clive Owen","mystery, comedy",https://en.wikipedia.org/wiki/Gosford_Park,"In November 1932, the wealthy industrialist Sir William McCordle (Michael Gambon), his wife, Lady Sylvia McCordle (Kristin Scott Thomas), and their daughter, Isobel (Camilla Rutherford), are to have a weekend shooting party at their country estate, Gosford Park. The guests are predominately their relations. When they arrive they enter through the front door and make small talk at tea, while their help are directed by the head housekeeper, Mrs Wilson (Helen Mirren), to their room assignments. Mrs Wilson notices the valet Robert Parks (Clive Owen), who was raised in an orphanage. Parks takes an interest in lady's maid Mary MacEachran (Kelly Macdonald). The head housemaid, Elsie (Emily Watson), guides Mary through the gathering.
After supper, a silver carving knife is found to have gone missing. Lady Sylvia has an assignation with valet Henry Denton (Ryan Phillippe).
The next morning, the men go on a pheasant shoot, and a stray shot hits Sir William's ear. The ladies join the men for a shooting lunch where Commander Anthony Meredith (Tom Hollander) pleads with Sir William not to back out of a business scheme.
Before dinner, Constance, Countess of Trentham (Maggie Smith), is told by Lady Sylvia, while dressing for dinner that Sir William may stop her allowance. At dinner, Lady Sylvia states that Sir William was a First World War profiteer. Elsie blurts out her support for Sir William, referring to him as 'Bill'; the room goes silent and Elsie rushes from the room. Sir William abruptly leaves the dining room for the library. Mrs Wilson brings him coffee; he wants whisky; he is irritated when he drinks the whisky.
In the drawing room, actor Ivor Novello (Jeremy Northam) plays the piano to lighten the atmosphere. Sir William sits in the library slumped in his chair and someone wearing the trousers of a valet or butler stabs him. Louisa, Lady Stockbridge (Geraldine Somerville) goes to the library; her screams alarm the house.
Bumbling Inspector Thompson (Stephen Fry) and competent Constable Dexter (Ron Webster) arrive to investigate the murder. No-one is permitted to leave the house. Dexter calls attention to the lack of blood from the stab wound. Denton, the valet of American film producer Morris Weissman (Bob Balaban), confesses that he is in fact an actor researching a role for an upcoming film. Later, he again visits Lady Sylvia.
The following morning, staff gossip that Sir William was not only stabbed but also poisoned. The head cook, Mrs. Croft (Eileen Atkins) shares with the kitchen staff that Sir William was known for seducing the female workers in his factories. If a woman became pregnant, Sir William offered two choices: keep the baby and lose your job, or give the baby up and keep your job. Those who gave up their babies were told that the adoptions were being arranged with good families. In reality, Sir William paid orphanages to take the babies.
Later that night, Inspector Thompson releases the guests. He never interviews the staff.
Parks tells Mary that Sir William was his father, that a son can hate his father, and that he did not poison Sir William. Mary tells Parks that then he did not kill Sir William because he was already dead and anyone should know if they stab a dead body. Parks says that he does not know and does not care if he killed Sir William.
The following morning, Lady Trentham and Lady Sylvia, in the presence of Mary, are talking about the sisters Mrs Croft and Mrs Wilson. Lady Sylvia says that Mrs Wilson was earlier known by the name Parks, Parker or Parkinson. Mrs Wilson tells Mary that she will never tell Parks that they are related: the mark of a good servant is anticipation, that it is not a crime to stab a dead man, and the important thing is that authorities can never touch Parks.
In private, Mrs Wilson grieves the loss of never knowing her son, and Mrs Croft acknowledges that what matters is that he is alive.
The last guests, Lady Trentham and the Stockbridges, depart.",
2001, Hannibal,American,,"Anthony Hopkins, Julianne Moore, Gary Oldman, Giancarlo Giannini, Ray Liotta",thriller,https://en.wikipedia.org/wiki/Hannibal_(film),"Ten years after tracking down serial killer Jame Gumb, FBI Special Agent Clarice Starling is unjustly blamed for a botched drug raid. She is later contacted by Mason Verger, the only surviving victim of the serial killer Hannibal Lecter. A wealthy child molester, Verger was paralyzed and brutally disfigured by Lecter during a therapy session. He has been pursuing an elaborate scheme to capture, torture, and kill Lecter ever since. Using his wealth and political influence, Verger has Starling reassigned to Lecter's case, hoping her involvement will draw Lecter out.
After learning of Starling's public disgrace, Lecter sends her a taunting letter. Starling detects a strange fragrance from the letter. A perfume expert later identifies a skin cream whose ingredients are only available to a few shops in the world. She contacts the police departments of the cities where the shops are located, requesting surveillance tapes. In Florence, one of said cities, Chief Inspector Rinaldo Pazzi is investigating the disappearance of a library curator. Pazzi questions Lecter, who is masquerading as Dr. Fell, the assistant curator and caretaker.
Upon recognizing Dr. Fell in the surveillance tape, Pazzi accesses the ViCAP database of wanted fugitives. He then learns of Verger's US$3 million personal bounty on Lecter. Blinded by greed, Pazzi ignores Starling's warnings and attempts to capture Lecter alone. He recruits a pickpocket to obtain Lecter's fingerprint to show Verger as proof. The pickpocket, mortally wounded by Lecter, manages to get the print and gives it to Pazzi. Lecter baits Pazzi into an isolated room of the Palazzo Vecchio, ties him up, then disembowels and hangs him. Lecter then heads back to the United States.
Verger bribes Justice Department official Paul Krendler to accuse Starling of withholding a note from Lecter, leading to her suspension. Lecter lures Starling to Union Station. Verger's men, having trailed Starling, capture and bring Lecter to Verger. Verger intends to feed Lecter alive to a herd of wild boars bred specifically for this purpose. After her superiors refuse to act, Starling infiltrates Verger's estate. After neutralizing the two guards and freeing Lecter, she is shot by a third guard who was in hiding. Lecter picks up an unconscious Starling just before the boars break through the doors. Verger orders his physician Cordell Doemling to shoot Lecter, but, with Lecter's suggestion, Cordell shoves his hated boss into the pen. Lecter carries Starling and watches the boars eat Verger alive.
Lecter takes Starling to Krendler's secluded lake house and treats her wounds. When Krendler arrives for the Fourth of July, Lecter subdues and drugs him. Starling, disoriented by morphine and dressed in a black velvet evening gown, awakens to find Krendler seated at the table set for an elegant dinner. Weakened by the drugs, she looks on in horror as Lecter removes part of Krendler's prefrontal cortex, sautés it, and feeds it to him.
After the meal, Starling tries to attack Lecter, but he overpowers her. She handcuffs his wrist to hers. Hearing the police closing in, Lecter threatens to sever her cuffed hand to escape. Lecter is later seen on a flight with his own boxed lunch, his bandaged arm in a sling. As he prepares to eat his meal, including what is assumed to be part of a cooked brain, a young boy seated next to him asks to try some of his food. Initially reluctant, Lecter then assents.",
