title,genre,Plot_reduction
ratchasan,thriller,open old found brutal murder wrap aspir want make reject murder despit good due pressur decid give becom assist murder polic move stay get make fail two sign bring act caught lead kill transfer anoth depriv teenag name abduct back find mutil attach collar find murder ago old kidnap return like uproot drill damag murder apart particular knife forehead found tri convinc superior egotist brush fake found brutal mutil drill broke uproot scar aliv suggest hidden prevent gain public murder oppos owe break eventu give move secret anoth name abduct happen murder lead name work current reveal forc schoolgirl tri molest beat detain admit sexual deni escap hold murder tri find late mutil also kill make wors suspend shoot angri investig find audio trace back old name use magic kidnap sinc impress trick invit one kill select lead exactli second meet without lead next potenti name realis follow wrong due twin abduct even though narrowli save murder escap reveal involv kill long ago investig retir afflict hormon caus look age name took befriend soon began develop unfortun heartbroken turn soon ridicul next ask becom hand open found mutil gift brutal murder arrest told die still aliv murder find kill find detain kept discov tri reveal perform six left known six sinc die taken age act tri apprehend kill found tri hide die tri protect prolong kill
96,romance,visit high overcom arrang catch hesitantli love come talent develop reciproc ask forget meet arriv toward reminisc first eagerli await find left financi reloc overnight inconsol love complet final meet find uncomfort interact gradual love get along talk marri disclos still no marri singl move go love refus meet forbad contact return sadli never tri meet love sinc devast listen reveal never saw thought troubl except assum hate love knew also tell see heartbroken felt expect come last feel sad final come happen express spend final catch kiss back marri go catch meet photographi assum request narrat improvis tri meet tell final met made togeth ever sinc got marri love ask visit freshen visibl upset love request move get marri final sing purpos avoid repeat show old love dri realiz run go back get readi sad know leav soon escort bid get leav back find put dri previou fold neatli put along treasur shut black
santhosh subramaniyam,comedy/romance,rich manag live excess dote upon younger love like want independ free normal avoid hurt want assist manag start new prefer work love arrang wed shock rather agre wed one meet immedi attract love see childish jovial love inform get spot along reveal furiou upon hear kiss alreadi engag bring make make pain better love agre believ impress go leav marri indiffer see talk compar talk especi ask tri impress fear might pain accept start befriend get close inform go meet pain get start known shock know reveal mischiev berat pain often marri childish leav even one given apologis say one worri see rather stay even like pain next former emot shout lost mani small prefer pain stay love calm want hurt realis say alway want feel take well never kiss thought sacrif make pain happi also make understand get better goe meet feel say angri obey like seen drink say send better understand numer former final agre wed
kutram 23,thriller,start confess murder abduct celebr anniversari happi except berat bear grandchild despit mani undergo famou final becom meanwhil put assist priest visit kill local first dead priest move unknowingli right opposit realiz find start question keep visit saw two outsid one anoth black driven mysteri young reveal attack drive similar save murder start around found reveal pregnant lead simpli claim kill recent tri conceiv soon lead close captur black outsid phone instruct shut stay show gone goe home find conclud commit sinc funer ask five million thendral one treat infertil kill reveal lead thendral theoriz might unfaith look realiz contain similar talk third young match realiz might hide opt use visit kill see realiz hide request undergon artifici also notic murder famou get treat success studi realiz artifici unusu follow question whether blackmail recent although coupl ask tap especi call enough receiv instruct pay huge reveal might destroy shadow young next seen withdraw drive busi young cover forc enter take catch escap place contain easili track overpow interrog blackmail sever legal undergon artifici hospit one first ardent hire get favorit conceiv soon felt guilti feel might get kill heard next slit infertil insemin learn lie use instead murder rupe els expos bring upon final goe back get learn came saw kill arrang look like done confess head arrest swiftli kill learn plan could accept rant overpow kill end discuss medic adopt
vtv,romance,fall meet white got know older tri interact afraid speak around strict end anger unabl hide pain longer confess respond later learn gone visit end look sever find apologis introduc deni feel agre back howev two get close convinc two sever begin admit also like want refrain know give due variou suppos fix wed arriv midway refus leav marri displeas without come wit ecstat secretli love admit inde fallen continu love without goe get rather busi come refus marri earlier call tell want elop love sinc travel less ideal tell stay soon would back discuss take goe back one check marri come know decid break peac due say agre marri plead tell come will feel elop gone wait long fulfil later come know marri settl abroad later meet fall love reject say yet marri gotten come first happen shot call upon femal marri eventu titl shoot see come speak admit marri still say still propos yet get marri actual reveal real watch togeth get reveal seen come forward love meet marri henc move tell lead full lead differ differ
thozha,drama,wealthi own leav ensur legal convey interest marri five later lead hopeless pain mani seem pretenti manipul parol advic would prove lead abid close detest find unpretenti defend prasad pain say right sinc piti reluct learn assist attract feel pain feelreject quickli give complex learn pure call encourag meet oppos fear discov oppos ridicul feel econom learn without knowledg arrang respect pain celebr becom love ill save learn suggest leav love happi boost impress wager propos french despit forc propos marri later accept meet tell happi return joyou make happi get recognis support releas suggest feel may leav want push although becom lead respons regain unhappi pain new becom worri arriv drive dress elegantli visit beauti ocean leav outsid leav smile walk away feel
silence,thriller,near mysteri murder crucifi take remain unsold due haunt find previou whose believ kill run away stain get hit assign investig reveal die taken key found murder crucifi see research famou whose previou commit death suicid mani alreadi gone miss heavi react murder poorli due two prior death initi inconclus interview reveal soon best went miss past grew met murder receiv show possess agre chang decid live meet new honour impress donat million invit mesmeris grow closer eventu fall get engag went miss decid death go relax find realis want see similar goe investig suspect learn even get arrest stab went also discov goe encount hood escap shoot search hope discov find bring kill notic coat next corps suspect break get trail follow discov secretli leav hood reveal took earlier occur becam good start live togeth becom jealou hurt explain ask tri prove go rub put brought stab lead decid give begin get along visibl displeas one concert greet kiss even gave convinc also dismiss flirtati prove refus first eventu agre meet bad went meet anyway secretli observ see drink get suddenli kill help clean left unnot told happen went recognis brought report saw gave discov plan take deceiv go kill knock restrain interrog wake kill enter decid let continu went meet come investig also cheat anoth proceed kill help cover begin kill unfaith hit hide kill present decid expos use hold put earlier show save final proven offici remain unsolv end pay
anandham,drama,own provision eldest among four live togeth along wide respect respons bring back pain good financi back marri respons second assist manag provision innoc marri rel short temper pick often third goe fall rich arrog youngest feel pain respect manag provision assist keep insist start separ accept would separ pain feel warn forget get leav want wish one begin say separ account take without bad rush hospit reveal suffer leav seriou knew save meet medic without inform worri pain get know realiz apolog thirupathi harsh behavior start goe meet agre stay along want send anoth wed inform agre cancel come back meet follow also come ask marri wish marri convinc get feel leav without big behind also convinc leav immedi love could know step see attack overheard realiz good get marri happili live along joint
zodiac,thriller,featur unknown surviv one later written call threaten kill unless code contain publish correctli guess taken serious exclud initi publish marri one two later make kill discuss code interpret find help begin share kill one danger featur villain hunt live human two later taxicab shot kill mail bloodstain along taunt assign work close claim continu send taunt host notic wear reveal use heavili suspect write even though said threaten becom turn might activ initi anger unabl sit loos base persist contact eventu did reveal impress directli give provid name occur demot supposedli kill forg continu profil give write begin murder receiv heavi deepen lose murder leav take learn live close probabl knew match gave employ stare later becom indic die could question remain open death
the silence of the lambs,thriller,pull assign former incarcer cannibalist serial whose could prove use serial nicknam kill young remov make crude kill starl cell although initi pleasant courteou rebuff leav name consid unspeak ugli call starl back tell seek old lead murder kill discov contain sever return murder say link offer profil transfer away detest anoth found moth lodg abduct author starl offer fake promis provid help quid pro offer person ten old reveal secretli record murder deceit offer flown meet verbal give mislead includ work sulfid visit imprison like request murder say need contain insist continu quid pro quo recount traumat hear slaughter rel caus run away specul starl save end nightmar reveal scream return file starl escort even kill escap disappear starl file knew first notic unfinish ident remov say make human alreadi en make referenc find name smuggl appli refus mistakenli believ transsexu continu interview find goe anoth knew meet realiz spot death head moth fli loos pursu cavern find trap dri complet dark starl cock react quickli dead starl receiv wish say must hang old death trail newli arriv disappear
